time_ms,temp_C,peltier_pwm,pump_pwm
0,17.19,0,128
2666,17.19,0,128
5332,17.19,0,128
7998,17.19,0,128
10664,17.19,0,128
13330,17.19,0,128
15996,17.19,0,128
18662,17.19,0,128
20960,17.19,0,128
23626,17.19,0,128
26292,17.25,0,128
28958,17.25,0,128
31624,17.25,0,128
34290,17.25,0,128
36956,17.25,0,128
39622,17.25,0,128
42288,17.25,0,128
44954,17.25,0,128
49985,17.31,0,128
52651,17.31,0,128
55317,17.31,0,128
57983,17.31,0,128
60649,17.31,153,128
63316,17.31,153,128
65982,17.31,153,128
68648,17.31,153,128
71314,17.37,153,128
73980,17.37,153,128
76646,17.37,153,128
79312,17.37,153,128
81978,17.37,153,128
84644,17.37,153,128
87310,17.37,153,128
89976,17.37,153,128
92642,17.37,153,128
95308,17.37,153,128
97974,17.37,153,128
100640,17.37,153,128
103306,17.37,153,128
105972,17.37,153,128
108638,17.37,153,128
111304,17.37,153,128
113970,17.37,153,128
116636,17.37,153,128
119302,17.37,153,128
121968,17.37,153,128
124634,17.37,153,128
127300,17.31,153,128
129966,17.37,153,128
132632,17.37,153,128
135298,17.31,153,128
137964,17.37,153,128
140630,17.37,153,128
143296,17.37,153,128
145962,17.37,153,128
148628,17.31,153,128
151294,17.37,153,128
153960,17.37,153,128
156626,17.31,153,128
159292,17.31,153,128
161958,17.31,153,128
164624,17.31,153,128
167290,17.31,153,128
169956,17.31,153,128
172622,17.31,153,128
175288,17.31,153,128
177954,17.37,153,128
180620,17.37,153,128
183286,17.37,153,128
185952,17.31,153,128
188618,17.37,153,128
191284,17.37,153,128
193747,17.31,153,128
196413,17.31,153,128
199079,17.37,153,128
201745,17.31,153,128
204411,17.37,153,128
207077,17.37,153,128
209743,17.31,153,128
212409,17.31,153,128
215075,17.37,153,128
217741,17.31,153,128
220407,17.31,153,128
223073,17.37,153,128
225739,17.31,153,128
228405,17.31,153,128
231071,17.37,153,128
233737,17.37,153,128
236403,17.37,153,128
239069,17.31,153,128
241735,17.31,153,128
244401,17.37,153,128
247067,17.31,153,128
249733,17.37,153,128
252399,17.37,153,128
255065,17.37,153,128
257731,17.31,153,128
260397,17.31,153,128
263063,17.37,153,128
265729,17.31,153,128
268395,17.37,153,128
271061,17.37,153,128
273727,17.31,153,128
276393,17.37,153,128
279059,17.31,153,128
281725,17.31,153,128
284391,17.37,153,128
287057,17.31,153,128
289723,17.31,153,128
292389,17.31,153,128
295055,17.37,153,128
297721,17.31,153,128
300387,17.31,153,128
303053,17.31,153,128
305719,17.31,153,128
308385,17.31,153,128
311051,17.37,153,128
313717,17.31,153,128
316383,17.37,153,128
319049,17.31,153,128
321715,17.37,153,128
324381,17.37,153,128
327047,17.31,153,128
329713,17.37,153,128
332379,17.37,153,128
334781,17.31,153,128
337447,17.37,153,128
340113,17.31,153,128
342779,17.37,153,128
345445,17.37,153,128
348111,17.31,153,128
350777,17.37,153,128
353443,17.37,153,128
356109,17.37,153,128
358775,17.37,153,128
361441,17.37,153,128
364107,17.37,153,128
366773,17.37,153,128
369439,17.37,153,128
372105,17.37,153,128
374771,17.37,153,128
377437,17.37,153,128
380103,17.37,153,128
382769,17.37,153,128
385435,17.37,153,128
388101,17.31,153,128
390767,17.31,153,128
393433,17.37,153,128
396099,17.37,153,128
398765,17.31,153,128
401431,17.37,153,128
404097,17.37,153,128
406763,17.37,153,128
409429,17.37,153,128
412095,17.31,153,128
414761,17.37,153,128
417427,17.37,153,128
420093,17.37,153,128
422759,17.31,153,128
425425,17.31,153,128
428091,17.37,153,128
430757,17.37,153,128
433423,17.37,153,128
436089,17.37,153,128
438755,17.37,153,128
441421,17.37,153,128
444087,17.37,153,128
446753,17.31,153,128
449419,17.37,153,128
452085,17.31,153,128
454751,17.37,153,128
457417,17.31,153,128
460083,17.37,153,128
462749,17.37,153,128
465415,17.31,153,128
468081,17.37,153,128
470747,17.37,153,128
473413,17.37,153,128
476079,17.37,153,128
478745,17.37,153,128
481411,17.37,153,128
483949,17.37,153,128
486615,17.37,153,128
489281,17.31,153,128
491947,17.37,153,128
494613,17.37,153,128
497279,17.31,153,128
499945,17.31,153,128
502151,17.31,153,128
504817,17.37,153,128
507483,17.37,153,128
510149,17.37,153,128
512815,17.37,153,128
515481,17.37,153,128
518147,17.37,153,128
520813,17.37,153,128
523479,17.37,153,128
526145,17.37,153,128
528811,17.37,153,128
531477,17.31,153,128
534143,17.37,153,128
536809,17.37,153,128
539475,17.37,153,128
542141,17.31,153,128
544807,17.31,153,128
547473,17.31,153,128
550139,17.37,153,128
552805,17.37,153,128
555471,17.37,153,128
558137,17.31,153,128
